JD,days_since_2449076.7,source_file,lambda_min_A,v_feii_km_s,norm_flux_min,v_err_km_s
2449084.50,7.800,sn1993j_1993_04_07.dif,5020.74,8598.6,0.9694,500.0
2449087.50,10.800,sn1993j_1993_04_10.dif,5025.77,8307.3,0.9233,500.0
2449089.50,12.800,sn1993j_1993_04_12.dif,5034.15,7821.0,0.8910,500.0
2449092.50,15.800,sn1993j_1993_04_15.dif,5037.51,7626.3,0.8719,500.0
2449095.50,18.800,sn1993j_1993_04_18.dif,5047.59,7041.4,0.8561,500.0
2449098.75,22.050,sn1993j_1993_04_21.dif,5056.01,6553.1,0.7659,500.0
2449100.50,23.800,sn1993j_1993_04_23.dif,5057.70,6455.3,0.7527,500.0
2449104.50,27.800,sn1993j_1993_04_27.dif,5077.97,5279.6,0.7309,500.0
2449108.50,31.800,sn1993j_1993_05_01.dif,5076.28,5377.8,0.7183,500.0
2449113.50,36.800,sn1993j_1993_05_06.dif,5077.97,5279.6,0.7221,500.0
2449118.50,41.800,sn1993j_1993_05_11.dif,5081.36,5083.2,0.7505,500.0
2449123.50,46.800,sn1993j_1993_05_16.dif,5084.74,4886.7,0.7449,500.0
2449131.50,54.800,sn1993j_1993_05_24.dif,5096.62,4197.8,0.7530,500.0
2449145.50,68.800,sn1993j_1993_06_07.dif,5091.53,4493.2,0.8133,500.0
2449153.50,76.800,sn1993j_1993_06_15.dif,5093.23,4394.8,0.7969,500.0
2449162.50,85.800,sn1993j_1993_06_24.dif,5093.23,4394.8,0.8041,500.0
2449172.50,95.800,sn1993j_1993_07_04.dif,5091.53,4493.2,0.7833,500.0
2449180.50,103.800,sn1993j_1993_07_12.dif,5091.53,4493.2,0.7981,500.0
2449191.50,114.800,sn1993j_1993_07_23.dif,5091.53,4493.2,0.7861,500.0
2449214.50,137.800,sn1993j_1993_08_15.dif,5093.23,4394.8,0.7935,500.0
2449246.00,169.300,sn1993j_1993_09_15.5.dif,5084.74,4886.7,0.9345,500.0
2449250.50,173.800,sn1993j_1993_09_20.dif,5089.83,4591.6,0.8744,500.0
2449280.42,203.717,sn1993j_1993_10_19.dif,5096.62,4197.8,0.6121,500.0
2449307.00,230.300,sn1993j_1993_11_15.5.dif,5076.28,5377.8,0.8748,500.0
2449330.47,253.769,sn1993j_1993_12_08.dif,5069.51,5770.1,0.8160,500.0
2449374.40,297.696,sn1993j_1994_01_21.dif,5067.82,5868.1,0.8747,500.0
2449436.62,359.925,sn1993j_1994_03_25.dif,5040.87,7431.5,0.8863,500.0
2449442.46,365.758,sn1993j_1994_03_30.dif,5062.76,6161.8,0.9214,500.0
