# SN 2011dh bolometric luminosity (Ergon+ 2014, first block, days 4-100)
# L in units of 1e41 erg/s converted to log10(L [erg/s])
# time_days  log10_L_erg_s  sigma_logL
    4.00000     41.462997     0.001346
    5.00000     41.554489     0.001333
    6.00000     41.659441     0.001427
    7.00000     41.755265     0.001450
    8.00000     41.838219     0.001324
    9.00000     41.908163     0.001288
   10.00000     41.968483     0.001308
   11.00000     42.018742     0.001123
   12.00000     42.060698     0.001095
   13.00000     42.095169     0.001081
   14.00000     42.124080     0.001077
   15.00000     42.148232     0.001080
   16.00000     42.168880     0.001089
   17.00000     42.186815     0.001328
   18.00000     42.202107     0.001336
   19.00000     42.213810     0.001460
   20.00000     42.221127     0.001409
   21.00000     42.223236     0.001403
   22.00000     42.219113     0.001862
   23.00000     42.208361     0.001693
   24.00000     42.192065     0.001563
   25.00000     42.171258     0.001405
   26.00000     42.146965     0.001362
   27.00000     42.120508     0.001283
   28.00000     42.093597     0.001190
   29.00000     42.067257     0.001376
   30.00000     42.042969     0.001377
   31.00000     42.019656     0.001370
   32.00000     41.998739     0.001394
   33.00000     41.979412     0.001366
   34.00000     41.961374     0.001377
   35.00000     41.944483     0.001382
   36.00000     41.928805     0.001381
   37.00000     41.914184     0.001376
   38.00000     41.900258     0.001421
   39.00000     41.886942     0.001352
   40.00000     41.874250     0.001392
   41.00000     41.861415     0.001374
   42.00000     41.848559     0.001354
   43.00000     41.836134     0.001393
   44.00000     41.823539     0.001434
   45.00000     41.812913     0.001403
   46.00000     41.802432     0.001369
   47.00000     41.792252     0.001401
   48.00000     41.782401     0.001362
   49.00000     41.772762     0.001392
   50.00000     41.763353     0.001872
   51.00000     41.754195     0.001912
   52.00000     41.745231     0.001874
   53.00000     41.735838     0.001915
   54.00000     41.725993     0.001877
   55.00000     41.716838     0.001917
   56.00000     41.707570     0.001873
   57.00000     41.698449     0.001913
   58.00000     41.689398     0.001865
   59.00000     41.681151     0.001900
   60.00000     41.672375     0.001847
   61.00000     41.663983     0.001883
   62.00000     41.655715     0.001823
   63.00000     41.647481     0.001858
   64.00000     41.639188     0.001894
   65.00000     41.630936     0.001930
   66.00000     41.622628     0.001864
   67.00000     41.614370     0.001900
   68.00000     41.606489     0.002042
   69.00000     41.597586     0.001975
   70.00000     41.588832     0.002015
   71.00000     41.579669     0.001943
   72.00000     41.571126     0.001982
   73.00000     41.562650     0.001902
   74.00000     41.554247     0.001939
   75.00000     41.545678     0.001854
   76.00000     41.537189     0.001891
   77.00000     41.528660     0.001928
   78.00000     41.520090     0.001836
   79.00000     41.511482     0.001873
   80.00000     41.502837     0.001774
   81.00000     41.494294     0.001809
   82.00000     41.485721     0.001703
   83.00000     41.477121     0.001737
   84.00000     41.468347     0.001773
   85.00000     41.459694     0.001808
   86.00000     41.451018     0.001845
   87.00000     41.442323     0.001725
   88.00000     41.433610     0.001760
   89.00000     41.424228     0.001799
   90.00000     41.414973     0.001837
   91.00000     41.406029     0.001705
   92.00000     41.396896     0.001741
   93.00000     41.388101     0.001777
   94.00000     41.378943     0.001815
   95.00000     41.369772     0.001668
   96.00000     41.360593     0.001704
   97.00000     41.351216     0.001741
   98.00000     41.342225     0.001777
   99.00000     41.333649     0.001813
  100.00000     41.325105     0.001643
