# SN 2011dh photospheric velocity (Fe II 5169, Marion et al. 2014)
# time_days  velocity_km_s  sigma_km_s
     4.00000      11400.0        500.0
     5.00000      11000.0        500.0
     6.00000      10900.0        500.0
     7.00000      10700.0        500.0
     8.00000      10100.0        500.0
     9.00000      10000.0        500.0
    11.00000       8800.0        500.0
    14.00000       7800.0        500.0
    17.00000       7500.0        500.0
    22.00000       6900.0        500.0
    24.00000       6900.0        500.0
    25.00000       6600.0        500.0
    26.00000       6400.0        500.0
    27.00000       6400.0        500.0
    28.00000       6100.0        500.0
    30.00000       6000.0        500.0
    31.00000       5800.0        500.0
    32.00000       5700.0        500.0
    34.00000       5300.0        500.0
