config	runtime_s	rms_all	description
ref_1000z	671.01	nan	Original SNEC 1.01, 1000 zones, -O3 -fbounds-check, EPSTOL=1e-7
orig_100z	10.43	0.16722	Original SNEC 1.01, 100 zones, original compiler flags
orig_100z_ofast	8.63	0.16727	Original SNEC 1.01, 100 zones, -Ofast -fprotect-parens etc
ssnec_code_only	8.64	0.07397	SuperSNEC legacy_pattern, all physics matching original SNEC
ssnec_solver	7.28	0.07427	+ EPSTOL relaxed from 1e-7 to 1e-4
ssnec_raytrace	3.00	0.07427	+ precomputed kappa_gamma + sequential hunt
ssnec_ni_cadence	2.75	0.07439	+ adaptive Ni cadence with f_Ni=0.10, dtmax=1e5 (fixed grid)
ssnec_quad	1.69	0.07744	+ Ni_quad_npoints reduced from 150 to 70 (fixed grid)
ssnec_final	1.70	0.02408	+ adaptive_runtime grid with f_Ni=0.70 + three-band cadence
ssnec_extreme	0.84	0.05476	imax=60, f_Ni=1.0, quad=50, smooth_ni=1 (maximum speed)
ssnec_minimal_output	1.44	0.02408	Baseline + output_mode=1 (fitting-only output for production grids)
ssnec_fast_minimal	0.66	0.05476	Fast (imax=60, f_Ni=1.0, quad=50) + output_mode=1
