case	ni_fractional_change	ni_period_max	status	real_s	ni_eval_total	ni_eval_remap	eos_problems	scratch_steps	saha_warnings	lum_nan_count	reached_tend	rms_0_5	rms_5_30	rms_gt30	rms_gt5	rms_all	max_abs_mag	n_pass
leg_2d_f0p05d0_pm5p0d4	0.05d0	5.0d4	ok	2.11612	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p05d0_pm1p728d5	0.05d0	1.728d5	ok	1.70336	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p05d0_pm3p456d5	0.05d0	3.456d5	ok	1.72010	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p05d0_pm5p456d5	0.05d0	5.456d5	ok	1.72268	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p05d0_pm8p64d5	0.05d0	8.64d5	ok	1.70852	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p05d0_pm1p728d6	0.05d0	1.728d6	ok	1.57979	69.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08818	0.02324	0.06293	0.07902	0.97278	2.00000
leg_2d_f0p10d0_pm5p0d4	0.10d0	5.0d4	ok	1.72323	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p10d0_pm1p728d5	0.10d0	1.728d5	ok	1.72563	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p10d0_pm3p456d5	0.10d0	3.456d5	ok	1.71265	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
leg_2d_f0p10d0_pm5p456d5	0.10d0	5.456d5	ok	1.66234	94.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17685	0.08806	0.02110	0.06245	0.07867	0.97278	2.00000
leg_2d_f0p10d0_pm8p64d5	0.10d0	8.64d5	ok	1.56670	61.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17749	0.09963	0.02619	0.07109	0.08524	0.97278	2.00000
leg_2d_f0p10d0_pm1p728d6	0.10d0	1.728d6	ok	1.44970	34.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17778	0.11013	0.03612	0.08014	0.09234	0.97278	1.00000
leg_2d_f0p20d0_pm5p0d4	0.20d0	5.0d4	ok	1.73485	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
