case	grid_mode	grid_update_interval_days	ni_period	ni_period_max	ni_frac
comp_adapt_f0p05d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.05d0
comp_legacy_f0p05d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.05d0
comp_adapt_f0p10d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.10d0
comp_legacy_f0p10d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.10d0
comp_adapt_f0p20d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.20d0
comp_legacy_f0p20d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.20d0
comp_adapt_f0p35d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.35d0
comp_legacy_f0p35d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.35d0
comp_adapt_f0p50d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.50d0
comp_legacy_f0p50d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.50d0
comp_adapt_f0p70d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.70d0
comp_legacy_f0p70d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.70d0
comp_adapt_f1p0d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	1.0d0
comp_legacy_f1p0d0	legacy_pattern	0.0d0	5.0d4	5.456d5	1.0d0
