case	grid_mode	grid_update_interval_days	ni_period	ni_period_max	ni_fractional_change	status	real_s	ni_eval_total	ni_eval_remap	eos_problems	scratch_steps	saha_warnings	lum_nan_count	reached_tend	rms_0_5	rms_5_30	rms_gt30	rms_gt5	rms_all	max_abs_mag	n_pass
comp_adapt_f0p05d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.05d0	ok	1.97139	74.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04562	0.02563	0.01491	0.02069	0.02379	0.07639	3.00000
comp_legacy_f0p05d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.05d0	ok	1.72296	100.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17684	0.08564	0.01951	0.06056	0.07730	0.97278	2.00000
comp_adapt_f0p10d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.10d0	ok	1.72645	71.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04547	0.02477	0.01235	0.01925	0.02264	0.07407	3.00000
comp_legacy_f0p10d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.10d0	ok	1.65949	94.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17685	0.08806	0.02110	0.06245	0.07867	0.97278	2.00000
comp_adapt_f0p20d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.20d0	ok	1.67196	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
comp_legacy_f0p20d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.20d0	ok	1.49344	46.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.17828	0.10930	0.02907	0.07806	0.09078	0.97278	1.00000
comp_adapt_f0p35d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.35d0	ok	1.69539	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
comp_legacy_f0p35d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.35d0	ok	1.41595	27.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.18270	0.14766	0.04625	0.10693	0.11519	0.97278	1.00000
comp_adapt_f0p50d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.50d0	ok	1.67692	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
comp_legacy_f0p50d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.50d0	ok	1.38328	19.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.18892	0.18778	0.05897	0.13602	0.14121	0.97278	1.00000
comp_adapt_f0p70d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	0.70d0	ok	1.70940	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
comp_legacy_f0p70d0	legacy_pattern	0.0d0	5.0d4	5.456d5	0.70d0	ok	1.35190	14.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.20206	0.24512	0.08125	0.17856	0.18064	0.97278	1.00000
comp_adapt_f1p0d0	adaptive_runtime	1.0d0	5.0d4	5.456d5	1.0d0	ok	1.67034	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
comp_legacy_f1p0d0	legacy_pattern	0.0d0	5.0d4	5.456d5	1.0d0	ok	1.30322	10.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.21043	0.34277	0.11680	0.25047	0.24737	0.97278	0.00000
