case	grid_adaptive_interval	grid_update_interval_days	description	status	real_s	remap_count	ni_eval_total	ni_eval_remap	eos_problems	scratch_steps	saha_warnings	lum_nan_count	reached_tend	rms_0_5	rms_5_30	rms_gt30	rms_gt5	rms_all	max_abs_mag	n_pass
mode_0_0p50d	0	0.50d0	Fixed, 0.50d base	ok	1.84275	89.00000	90.00000	89.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04012	0.02609	0.01408	0.02065	0.02292	0.07404	3.00000
mode_m1_0p50d	-1	0.50d0	Photo+cap, 0.50d base	ok	1.72720	64.00000	65.00000	64.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04012	0.02796	0.01289	0.02138	0.02353	0.07404	3.00000
mode_m2_0p50d	-2	0.50d0	Photo, 0.50d base	ok	1.71132	56.00000	57.00000	56.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.08091	0.06321	0.01052	0.04412	0.04828	0.21611	3.00000
mode_m3_0p50d	-3	0.50d0	Early-dense, 0.50d base	ok	1.72222	54.00000	55.00000	54.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.03926	0.02731	0.00714	0.01948	0.02183	0.07404	3.00000
mode_0_1p00d	0	1.00d0	Fixed, 1.00d base	ok	1.70541	50.00000	51.00000	50.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
mode_m1_1p00d	-1	1.00d0	Photo+cap, 1.00d base	ok	1.66250	47.00000	48.00000	47.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02572	0.00893	0.01884	0.02245	0.07873	3.00000
mode_m2_1p00d	-2	1.00d0	Photo, 1.00d base	ok	1.69711	47.00000	47.00000	47.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04864	0.02934	0.01141	0.02181	0.02517	0.08242	3.00000
mode_m3_1p00d	-3	1.00d0	Early-dense, 1.00d base	ok	1.76586	49.00000	46.00000	49.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04213	0.02933	0.00880	0.02116	0.02363	0.07404	3.00000
mode_0_2p00d	0	2.00d0	Fixed, 2.00d base	ok	1.75708	26.00000	27.00000	26.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.05417	0.07355	0.01406	0.05159	0.05181	0.11660	3.00000
mode_m1_2p00d	-1	2.00d0	Photo+cap, 2.00d base	ok	1.76892	26.00000	27.00000	26.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.05417	0.07355	0.01406	0.05159	0.05181	0.11660	3.00000
mode_m2_2p00d	-2	2.00d0	Photo, 2.00d base	ok	1.73720	26.00000	27.00000	26.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.05417	0.07355	0.01406	0.05159	0.05181	0.11660	3.00000
mode_m3_2p00d	-3	2.00d0	Early-dense, 2.00d base	ok	1.76142	38.00000	29.00000	38.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.04953	0.05373	0.01599	0.03872	0.03974	0.09405	3.00000
mode_0_3p00d	0	3.00d0	Fixed, 3.00d base	ok	1.77738	17.00000	18.00000	17.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.06612	0.12572	0.03033	0.08920	0.08750	0.18379	2.00000
mode_m1_3p00d	-1	3.00d0	Photo+cap, 3.00d base	ok	1.79465	17.00000	18.00000	17.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.06612	0.12572	0.03033	0.08920	0.08750	0.18379	2.00000
mode_m2_3p00d	-2	3.00d0	Photo, 3.00d base	ok	1.78196	17.00000	18.00000	17.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.06612	0.12572	0.03033	0.08920	0.08750	0.18379	2.00000
mode_m3_3p00d	-3	3.00d0	Early-dense, 3.00d base	ok	1.73729	28.00000	20.00000	28.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.06165	0.07675	0.02833	0.05664	0.05707	0.13165	3.00000
