case	h_epstol	h_itmax	hr_epstol	hr_itmax	status	real_s	eos_problems	scratch_steps	saha_warnings	lum_nan_count	reached_tend	rms_0_5	rms_5_30	rms_gt30	rms_gt5	rms_all	max_abs_mag	n_pass
thrlim_base	1.0d-7	100	1.0d-7	300	ok	4.83222	4.00000	4.00000	0.00000	0.00000	1.00000	0.03843	0.02483	0.01087	0.01881	0.02116	0.11540	3.00000
thrlim_strict10x	1.0d-8	100	1.0d-8	300	ok	7.09358	11.00000	11.00000	0.00000	0.00000	1.00000	0.03834	0.02337	0.01109	0.01797	0.02047	0.11541	3.00000
thrlim_eps_3e-7	3.0d-7	100	3.0d-7	300	ok	3.85995	1.00000	1.00000	0.00000	0.00000	1.00000	0.03833	0.02524	0.01000	0.01881	0.02115	0.11538	3.00000
thrlim_eps_1e-6	1.0d-6	100	1.0d-6	300	ok	3.10155	0.00000	0.00000	0.00000	0.00000	1.00000	0.03836	0.02535	0.00855	0.01850	0.02090	0.11537	3.00000
thrlim_eps_2e-6	2.0d-6	100	2.0d-6	300	ok	2.72286	0.00000	0.00000	0.00000	0.00000	1.00000	0.03810	0.02471	0.01351	0.01962	0.02178	0.11536	3.00000
thrlim_eps_5e-6	5.0d-6	100	5.0d-6	300	ok	2.31571	0.00000	0.00000	0.00000	0.00000	1.00000	0.03833	0.02591	0.01103	0.01953	0.02174	0.11501	3.00000
thrlim_eps_1e-5	1.0d-5	100	1.0d-5	300	ok	2.08396	0.00000	0.00000	0.00000	0.00000	1.00000	0.03735	0.02546	0.01007	0.01897	0.02113	0.11148	3.00000
thrlim_eps_2e-5	2.0d-5	100	2.0d-5	300	ok	1.89761	0.00000	0.00000	0.00000	0.00000	1.00000	0.03595	0.02367	0.01240	0.01860	0.02062	0.10446	3.00000
thrlim_eps_5e-5	5.0d-5	100	5.0d-5	300	ok	1.78639	0.00000	0.00000	0.00000	0.00000	1.00000	0.03649	0.02735	0.01072	0.02035	0.02216	0.08531	3.00000
thrlim_eps_1e-4	1.0d-4	100	1.0d-4	300	ok	1.71410	0.00000	0.00000	0.00000	0.00000	1.00000	0.04625	0.02596	0.01502	0.02092	0.02408	0.07873	3.00000
thrlim_eps_2e-4	2.0d-4	100	2.0d-4	300	ok	1.56349	0.00000	0.00000	0.00000	0.00000	1.00000	0.06895	0.03190	0.01249	0.02373	0.03023	0.09609	3.00000
thrlim_eps_5e-4	5.0d-4	100	5.0d-4	300	ok	1.47267	0.00000	0.00000	0.00000	0.00000	1.00000	0.10362	0.05588	0.00710	0.03877	0.04770	0.14105	2.00000
thrlim_it_80_240	1.0d-7	80	1.0d-7	240	ok	4.94437	8.00000	8.00000	0.00000	0.00000	1.00000	0.03843	0.02430	0.01055	0.01838	0.02081	0.11540	3.00000
thrlim_it_60_200	1.0d-7	60	1.0d-7	200	ok	5.16407	13.00000	13.00000	0.00000	0.00000	1.00000	0.03843	0.02371	0.01373	0.01911	0.02141	0.11540	3.00000
thrlim_it_40_150	1.0d-7	40	1.0d-7	150	ok	5.52358	23.00000	23.00000	0.00000	0.00000	1.00000	0.03917	0.02377	0.00926	0.01767	0.02036	0.11540	3.00000
thrlim_it_30_120	1.0d-7	30	1.0d-7	120	ok	5.71265	30.00000	30.00000	0.00000	0.00000	1.00000	0.03917	0.02281	0.01011	0.01732	0.02008	0.11540	3.00000
thrlim_it_20_90	1.0d-7	20	1.0d-7	90	ok	5.96934	46.00000	46.00000	0.00000	0.00000	1.00000	0.03874	0.02423	0.00740	0.01750	0.02016	0.11540	3.00000
thrlim_it_15_60	1.0d-7	15	1.0d-7	60	ok	6.23970	74.00000	74.00000	0.00000	0.00000	1.00000	0.03914	0.02399	0.01274	0.01891	0.02135	0.11540	3.00000
thrlim_it_10_45	1.0d-7	10	1.0d-7	45	ok	6.58028	113.00000	113.00000	0.00000	0.00000	1.00000	0.03861	0.02354	0.01419	0.01919	0.02149	0.11540	3.00000
thrlim_it_8_30	1.0d-7	8	1.0d-7	30	ok	6.99259	186.00000	186.00000	0.00000	0.00000	1.00000	0.03927	0.02432	0.01263	0.01907	0.02150	0.11540	3.00000
thrlim_it_6_20	1.0d-7	6	1.0d-7	20	ok	7.55431	306.00000	306.00000	0.00000	0.00000	1.00000	0.04005	0.02349	0.01307	0.01873	0.02135	0.11540	3.00000
thrlim_combo_a	1.0d-6	40	1.0d-6	150	ok	3.30342	8.00000	8.00000	0.00000	0.00000	1.00000	0.03836	0.02373	0.01081	0.01811	0.02058	0.11537	3.00000
thrlim_combo_b	2.0d-6	30	2.0d-6	120	ok	2.87484	8.00000	8.00000	0.00000	0.00000	1.00000	0.03810	0.02314	0.01490	0.01924	0.02146	0.11536	3.00000
thrlim_combo_c	5.0d-6	20	5.0d-6	90	ok	2.36548	7.00000	7.00000	0.00000	0.00000	1.00000	0.03833	0.02566	0.01112	0.01940	0.02163	0.11501	3.00000
thrlim_combo_d	1.0d-5	15	1.0d-5	60	ok	2.07595	10.00000	10.00000	0.00000	0.00000	1.00000	0.03735	0.02301	0.01053	0.01757	0.01999	0.11148	3.00000
