# Temp u g r i z U B V R I NUV FUV M2 W1 W2
1.000000000000000000e+03 -2.870550000000000068e+01 -1.880010000000000048e+01 -1.278490000000000038e+01 -9.210359999999999658e+00 -6.439790000000000347e+00 -2.717610000000000170e+01 -2.029629999999999868e+01 -1.500329999999999941e+01 -7.542580000000000062e+00 -1.065099999999999980e+01 -4.423610000000000042e+01 -7.580249999999999488e+01 -4.209309999999999974e+01 -2.522939999999999827e+01 -2.884039999999999893e+01
2.000000000000000000e+03 -1.085699999999999932e+01 -6.422399999999999665e+00 -3.561770000000000103e+00 -2.022450000000000081e+00 -9.179559999999999942e-01 -9.791059999999999874e+00 -7.347019999999999662e+00 -4.670819999999999972e+00 -1.085090000000000110e+00 -2.795619999999999994e+00 -1.912099999999999866e+01 -3.422240000000000038e+01 -1.980649999999999977e+01 -1.283840000000000003e+01 -1.506649999999999956e+01
3.000000000000000000e+03 -5.505969999999999587e+00 -2.879049999999999887e+00 -1.168129999999999891e+00 -3.284889999999999755e-01 2.241670000000000051e-01 -4.566279999999999895e+00 -3.489669999999999828e+00 -1.808089999999999975e+00 3.686969999999999970e-01 -7.044519999999999671e-01 -1.104410000000000025e+01 -2.075740000000000052e+01 -1.168270000000000053e+01 -8.436949999999999505e+00 -1.048830000000000062e+01
4.000000000000000000e+03 -3.156930000000000014e+00 -1.420989999999999975e+00 -3.190359999999999863e-01 1.665179999999999993e-01 4.476220000000000199e-01 -2.272769999999999957e+00 -1.855939999999999923e+00 -7.099769999999999692e-01 7.464939999999999909e-01 2.447179999999999842e-02 -7.228959999999999830e+00 -1.421449999999999925e+01 -7.665289999999999715e+00 -5.914500000000000313e+00 -7.755150000000000432e+00
5.000000000000000000e+03 -1.951189999999999980e+00 -7.431010000000000115e-01 -1.740529999999999855e-02 2.576339999999999741e-01 3.808119999999999838e-01 -1.097350000000000048e+00 -1.069379999999999997e+00 -2.563639999999999808e-01 7.697220000000000173e-01 2.644219999999999904e-01 -5.083289999999999864e+00 -1.041649999999999920e+01 -5.377069999999999794e+00 -4.270760000000000112e+00 -5.857440000000000424e+00
6.000000000000000000e+03 -1.285439999999999916e+00 -4.245889999999999942e-01 4.794160000000000088e-02 1.856790000000000107e-01 2.073889999999999900e-01 -4.503820000000000046e-01 -6.782259999999999955e-01 -9.009830000000000616e-02 6.543090000000000295e-01 2.932310000000000194e-01 -3.754950000000000010e+00 -7.982190000000000119e+00 -3.956620000000000026e+00 -3.142339999999999911e+00 -4.535800000000000054e+00
7.000000000000000000e+03 -9.088850000000000540e-01 -2.922350000000000225e-01 1.566960000000000054e-04 4.253570000000000267e-02 -5.625520000000000173e-03 -8.644499999999999407e-02 -4.945120000000000071e-01 -6.689330000000000276e-02 4.813680000000000181e-01 2.217069999999999874e-01 -2.883970000000000145e+00 -6.320870000000000211e+00 -3.025560000000000027e+00 -2.393990000000000062e+00 -3.607540000000000191e+00
8.000000000000000000e+03 -7.003399999999999626e-01 -2.635830000000000117e-01 -1.047740000000000060e-01 -1.317440000000000000e-01 -2.303469999999999962e-01 1.131309999999999955e-01 -4.279950000000000143e-01 -1.196399999999999963e-01 2.855960000000000165e-01 1.003740000000000049e-01 -2.292320000000000135e+00 -5.137319999999999887e+00 -2.393629999999999924e+00 -1.891089999999999938e+00 -2.945759999999999934e+00
9.000000000000000000e+03 -5.950060000000000349e-01 -2.954229999999999912e-01 -2.386270000000000058e-01 -3.181590000000000251e-01 -4.545310000000000183e-01 2.118190000000000073e-01 -4.309899999999999842e-01 -2.140670000000000073e-01 8.304480000000000195e-02 -4.562709999999999683e-02 -1.881999999999999895e+00 -4.267809999999999881e+00 -1.955480000000000107e+00 -1.550200000000000022e+00 -2.458190000000000097e+00
1.000000000000000000e+04 -5.556309999999999860e-01 -3.635109999999999730e-01 -3.866809999999999969e-01 -5.072330000000000449e-01 -6.728429999999999689e-01 2.461079999999999934e-01 -4.765130000000000199e-01 -3.314929999999999821e-01 -1.185380000000000045e-01 -2.030230000000000090e-01 -1.594740000000000046e+00 -3.614479999999999915e+00 -1.648479999999999945e+00 -1.318429999999999991e+00 -2.098289999999999988e+00
1.100000000000000000e+04 -5.596109999999999696e-01 -4.535560000000000147e-01 -5.408190000000000497e-01 -6.941289999999999960e-01 -8.829099999999999726e-01 2.381340000000000123e-01 -5.485189999999999788e-01 -4.612399999999999833e-01 -3.153819999999999957e-01 -3.645240000000000147e-01 -1.393899999999999917e+00 -3.115349999999999842e+00 -1.433280000000000109e+00 -1.160719999999999974e+00 -1.831069999999999975e+00
1.200000000000000000e+04 -5.926430000000000309e-01 -5.567980000000000151e-01 -6.964010000000000478e-01 -8.763910000000000311e-01 -1.084179999999999922e+00 2.018969999999999931e-01 -6.370710000000000539e-01 -5.969989999999999464e-01 -5.057260000000000089e-01 -5.260340000000000016e-01 -1.255349999999999966e+00 -2.729429999999999801e+00 -1.284080000000000110e+00 -1.053390000000000049e+00 -1.633210000000000051e+00
1.300000000000000000e+04 -6.453759999999999497e-01 -6.677079999999999682e-01 -8.507369999999999655e-01 -1.052829999999999933e+00 -1.277290000000000036e+00 1.465470000000000106e-01 -7.358280000000000376e-01 -7.349510000000000209e-01 -6.888490000000000446e-01 -6.852380000000000138e-01 -1.162649999999999961e+00 -2.428599999999999870e+00 -1.183329999999999993e+00 -9.897219999999999906e-01 -1.487759999999999971e+00
1.400000000000000000e+04 -7.115280000000000493e-01 -7.827250000000000041e-01 -1.002280000000000060e+00 -1.222960000000000047e+00 -1.461519999999999930e+00 7.822300000000000086e-02 -8.406489999999999796e-01 -8.727580000000000338e-01 -8.645869999999999944e-01 -8.408459999999999823e-01 -1.104289999999999994e+00 -2.192930000000000046e+00 -1.118780000000000108e+00 -9.579260000000000552e-01 -1.382800000000000029e+00
1.500000000000000000e+04 -7.867870000000000141e-01 -8.995189999999999575e-01 -1.150190000000000046e+00 -1.386670000000000069e+00 -1.637110000000000065e+00 1.136850000000000013e-03 -9.487839999999999607e-01 -1.008979999999999988e+00 -1.033069999999999933e+00 -9.921750000000000291e-01 -1.071989999999999998e+00 -2.008020000000000138e+00 -1.081660000000000066e+00 -9.533509999999999485e-01 -1.309279999999999999e+00
1.600000000000000000e+04 -8.681449999999999445e-01 -1.016550000000000065e+00 -1.294010000000000105e+00 -1.544079999999999897e+00 -1.802540000000000031e+00 -8.177500000000000047e-02 -1.058380000000000098e+00 -1.142749999999999932e+00 -1.194579999999999975e+00 -1.138900000000000023e+00 -1.059690000000000021e+00 -1.863159999999999927e+00 -1.065560000000000063e+00 -9.673019999999999952e-01 -1.260529999999999928e+00
1.700000000000000000e+04 -9.534660000000000357e-01 -1.132789999999999964e+00 -1.433519999999999905e+00 -1.695380000000000109e+00 -1.961189999999999989e+00 -1.684340000000000004e-01 -1.168190000000000062e+00 -1.273539999999999894e+00 -1.349460000000000104e+00 -1.280929999999999902e+00 -1.062869999999999981e+00 -1.750299999999999967e+00 -1.065739999999999910e+00 -9.940780000000000172e-01 -1.231230000000000047e+00
1.800000000000000000e+04 -1.041220000000000034e+00 -1.247579999999999911e+00 -1.568689999999999918e+00 -1.840850000000000097e+00 -2.116769999999999818e+00 -2.573509999999999964e-01 -1.277349999999999985e+00 -1.401080000000000103e+00 -1.498099999999999987e+00 -1.418299999999999894e+00 -1.078109999999999902e+00 -1.663259999999999961e+00 -1.078570000000000029e+00 -1.031250000000000000e+00 -1.217279999999999918e+00
1.900000000000000000e+04 -1.130309999999999926e+00 -1.360470000000000068e+00 -1.699559999999999960e+00 -1.980820000000000025e+00 -2.263360000000000039e+00 -3.474559999999999871e-01 -1.385280000000000067e+00 -1.525220000000000020e+00 -1.640870000000000051e+00 -1.551099999999999923e+00 -1.102810000000000068e+00 -1.597220000000000084e+00 -1.101269999999999971e+00 -1.074810000000000043e+00 -1.215670000000000028e+00
2.000000000000000000e+04 -1.219929999999999959e+00 -1.471179999999999932e+00 -1.826259999999999994e+00 -2.115610000000000213e+00 -2.403340000000000032e+00 -4.379669999999999952e-01 -1.491610000000000102e+00 -1.645950000000000024e+00 -1.778140000000000054e+00 -1.679510000000000058e+00 -1.134929999999999994e+00 -1.548410000000000064e+00 -1.131750000000000034e+00 -1.123429999999999929e+00 -1.224189999999999889e+00
2.100000000000000000e+04 -1.309490000000000043e+00 -1.579560000000000075e+00 -1.948919999999999986e+00 -2.245509999999999895e+00 -2.537749999999999950e+00 -5.283210000000000406e-01 -1.596070000000000100e+00 -1.763269999999999893e+00 -1.910269999999999913e+00 -1.803690000000000015e+00 -1.172900000000000054e+00 -1.513810000000000100e+00 -1.168339999999999934e+00 -1.176239999999999952e+00 -1.241170000000000107e+00
2.200000000000000000e+04 -1.398570000000000091e+00 -1.685519999999999907e+00 -2.067709999999999937e+00 -2.370820000000000149e+00 -2.667030000000000012e+00 -6.181050000000000155e-01 -1.698509999999999964e+00 -1.877269999999999994e+00 -2.037570000000000103e+00 -1.923850000000000060e+00 -1.215459999999999985e+00 -1.491020000000000012e+00 -1.209750000000000103e+00 -1.232010000000000050e+00 -1.264739999999999975e+00
2.300000000000000000e+04 -1.486850000000000005e+00 -1.789020000000000055e+00 -2.182799999999999851e+00 -2.491789999999999949e+00 -2.791669999999999874e+00 -7.070210000000000106e-01 -1.798839999999999995e+00 -1.988029999999999964e+00 -2.160369999999999902e+00 -2.040179999999999882e+00 -1.261640000000000095e+00 -1.478069999999999995e+00 -1.254950000000000010e+00 -1.290030000000000010e+00 -1.293350000000000000e+00
2.400000000000000000e+04 -1.574109999999999898e+00 -1.890060000000000073e+00 -2.294369999999999798e+00 -2.608699999999999797e+00 -2.911999999999999922e+00 -7.948560000000000070e-01 -1.897010000000000085e+00 -2.095670000000000144e+00 -2.278919999999999835e+00 -2.152859999999999996e+00 -1.310619999999999896e+00 -1.473379999999999912e+00 -1.303099999999999925e+00 -1.349599999999999911e+00 -1.326270000000000060e+00
2.500000000000000000e+04 -1.660190000000000055e+00 -1.988669999999999938e+00 -2.402569999999999872e+00 -2.721789999999999932e+00 -3.028480000000000061e+00 -8.814589999999999925e-01 -1.993020000000000014e+00 -2.200289999999999857e+00 -2.393510000000000026e+00 -2.262080000000000091e+00 -1.361790000000000056e+00 -1.475610000000000088e+00 -1.353550000000000031e+00 -1.410239999999999938e+00 -1.362710000000000088e+00
2.600000000000000000e+04 -1.744990000000000041e+00 -2.084909999999999819e+00 -2.507579999999999920e+00 -2.831259999999999888e+00 -3.141080000000000094e+00 -9.667270000000000030e-01 -2.086869999999999781e+00 -2.302029999999999799e+00 -2.504360000000000142e+00 -2.368020000000000014e+00 -1.414619999999999989e+00 -1.483689999999999953e+00 -1.405769999999999964e+00 -1.471600000000000019e+00 -1.401999999999999913e+00
2.700000000000000000e+04 -1.828419999999999934e+00 -2.178830000000000044e+00 -2.609560000000000102e+00 -2.937339999999999840e+00 -3.250220000000000109e+00 -1.050589999999999913e+00 -2.178609999999999935e+00 -2.400999999999999801e+00 -2.611709999999999976e+00 -2.470839999999999925e+00 -1.468699999999999894e+00 -1.496720000000000050e+00 -1.459310000000000107e+00 -1.533390000000000031e+00 -1.443589999999999929e+00
2.800000000000000000e+04 -1.910439999999999916e+00 -2.270500000000000185e+00 -2.708660000000000068e+00 -3.040200000000000014e+00 -3.355879999999999974e+00 -1.133010000000000073e+00 -2.268269999999999786e+00 -2.497310000000000141e+00 -2.715749999999999886e+00 -2.570710000000000051e+00 -1.523679999999999923e+00 -1.513929999999999998e+00 -1.513819999999999943e+00 -1.595380000000000020e+00 -1.487030000000000074e+00
2.900000000000000000e+04 -1.991030000000000078e+00 -2.359989999999999810e+00 -2.805009999999999781e+00 -3.140039999999999942e+00 -3.458299999999999930e+00 -1.213959999999999928e+00 -2.355900000000000105e+00 -2.591089999999999893e+00 -2.816669999999999785e+00 -2.667780000000000040e+00 -1.579290000000000083e+00 -1.534690000000000110e+00 -1.569020000000000081e+00 -1.657350000000000101e+00 -1.531949999999999923e+00
3.000000000000000000e+04 -2.070180000000000131e+00 -2.447360000000000202e+00 -2.898750000000000160e+00 -3.237010000000000165e+00 -3.557669999999999888e+00 -1.293439999999999923e+00 -2.441549999999999887e+00 -2.682449999999999779e+00 -2.914639999999999898e+00 -2.762179999999999858e+00 -1.635299999999999976e+00 -1.558459999999999956e+00 -1.624670000000000059e+00 -1.719149999999999956e+00 -1.578040000000000109e+00
3.100000000000000000e+04 -2.147879999999999789e+00 -2.532700000000000173e+00 -2.990000000000000213e+00 -3.331269999999999953e+00 -3.654170000000000140e+00 -1.371459999999999901e+00 -2.525300000000000100e+00 -2.771490000000000009e+00 -3.009840000000000071e+00 -2.854039999999999910e+00 -1.691519999999999913e+00 -1.584789999999999921e+00 -1.680579999999999963e+00 -1.780690000000000106e+00 -1.625029999999999974e+00
3.200000000000000000e+04 -2.224159999999999915e+00 -2.616080000000000183e+00 -3.078879999999999839e+00 -3.422959999999999781e+00 -3.747930000000000206e+00 -1.448020000000000085e+00 -2.607190000000000119e+00 -2.858309999999999906e+00 -3.102390000000000203e+00 -2.943490000000000162e+00 -1.747800000000000020e+00 -1.613280000000000047e+00 -1.736580000000000013e+00 -1.841900000000000093e+00 -1.672700000000000076e+00
3.300000000000000000e+04 -2.299020000000000064e+00 -2.697560000000000180e+00 -3.165500000000000203e+00 -3.512199999999999989e+00 -3.839100000000000179e+00 -1.523160000000000069e+00 -2.687289999999999957e+00 -2.943010000000000126e+00 -3.192450000000000010e+00 -3.030650000000000066e+00 -1.804009999999999891e+00 -1.643620000000000081e+00 -1.792540000000000022e+00 -1.902700000000000058e+00 -1.720879999999999965e+00
3.400000000000000000e+04 -2.372500000000000053e+00 -2.777219999999999800e+00 -3.249979999999999869e+00 -3.599120000000000097e+00 -3.927820000000000089e+00 -1.596889999999999921e+00 -2.765670000000000073e+00 -3.025679999999999925e+00 -3.280139999999999834e+00 -3.115619999999999834e+00 -1.860060000000000047e+00 -1.675499999999999989e+00 -1.848360000000000003e+00 -1.962970000000000104e+00 -1.769400000000000084e+00
3.500000000000000000e+04 -2.444620000000000015e+00 -2.855129999999999946e+00 -3.332390000000000185e+00 -3.683840000000000003e+00 -4.014230000000000409e+00 -1.669240000000000057e+00 -2.842360000000000220e+00 -3.106409999999999894e+00 -3.365580000000000016e+00 -3.198510000000000186e+00 -1.915850000000000053e+00 -1.708700000000000108e+00 -1.903960000000000097e+00 -2.022660000000000124e+00 -1.818130000000000024e+00
3.600000000000000000e+04 -2.515410000000000146e+00 -2.931350000000000122e+00 -3.412850000000000161e+00 -3.766459999999999919e+00 -4.098429999999999573e+00 -1.740240000000000009e+00 -2.917450000000000099e+00 -3.185280000000000111e+00 -3.448879999999999946e+00 -3.279399999999999871e+00 -1.971309999999999896e+00 -1.743000000000000105e+00 -1.959249999999999936e+00 -2.081729999999999858e+00 -1.866970000000000018e+00
3.700000000000000000e+04 -2.584900000000000198e+00 -3.005939999999999834e+00 -3.491429999999999811e+00 -3.847080000000000055e+00 -4.180539999999999701e+00 -1.809940000000000104e+00 -2.990969999999999906e+00 -3.262370000000000214e+00 -3.530130000000000212e+00 -3.358389999999999986e+00 -2.026400000000000201e+00 -1.778210000000000068e+00 -2.014170000000000016e+00 -2.140159999999999840e+00 -1.915820000000000078e+00
3.800000000000000000e+04 -2.653119999999999923e+00 -3.078969999999999985e+00 -3.568220000000000169e+00 -3.925790000000000113e+00 -4.260659999999999670e+00 -1.878349999999999964e+00 -3.063000000000000167e+00 -3.337750000000000217e+00 -3.609440000000000204e+00 -3.435569999999999791e+00 -2.081059999999999910e+00 -1.814189999999999969e+00 -2.068690000000000140e+00 -2.197950000000000070e+00 -1.964609999999999967e+00
3.900000000000000000e+04 -2.720099999999999962e+00 -3.150490000000000013e+00 -3.643289999999999917e+00 -4.002679999999999794e+00 -4.338879999999999626e+00 -1.945519999999999916e+00 -3.133570000000000189e+00 -3.411490000000000133e+00 -3.686900000000000066e+00 -3.511010000000000186e+00 -2.135260000000000158e+00 -1.850789999999999935e+00 -2.122759999999999980e+00 -2.255100000000000104e+00 -2.013269999999999893e+00
